pdb_id,chainA,chainB,n_resA,n_resB,interfaceA_5A,interfaceB_5A,interface_total_5A
1A6V,H,I,118,119,6,8,14
1A6V,H,L,118,110,21,26,47
1A6V,I,J,119,120,8,8,16
1A6V,I,M,119,109,22,26,48
1A6V,J,N,120,109,24,29,53
1A6W,H,L,120,109,19,25,44
1A6Z,A,B,272,99,36,27,63
1A6Z,A,C,272,272,17,17,34
1A6Z,C,D,272,99,37,28,65
1A75,A,B,106,108,7,7,14
1A7N,H,L,116,107,24,21,45
1A7O,H,L,116,106,20,20,40
1A7P,H,L,116,107,24,21,45
1A7Q,H,L,116,106,24,22,46
1A7R,H,L,116,107,24,23,47
1A81,A,C,254,254,8,11,19
1A81,A,E,254,220,9,10,19
1A81,A,G,254,220,5,7,12
1A81,C,E,254,220,9,10,19
1A81,G,I,220,254,11,12,23
1A81,G,K,220,220,9,10,19
1A81,I,K,254,220,9,10,19
1A9E,A,B,277,100,40,31,71
1A9N,A,B,162,94,25,22,47
1A9N,A,C,162,174,13,17,30
1A9N,C,D,174,93,25,22,47
1A9W,A,C,141,141,13,13,26
1A9W,A,E,141,145,20,22,42
1A9W,A,F,141,145,10,10,20
1A9W,C,E,141,145,10,9,19
1A9W,C,F,141,145,21,22,43
1A9X,A,B,1058,378,65,56,121
1A9X,A,E,1058,1058,13,13,26
1A9X,A,G,1058,1058,16,15,31
1A9X,C,D,1058,378,63,58,121
1A9X,C,E,1058,1058,15,16,31
1A9X,C,G,1058,1058,14,14,28
1A9X,E,F,1058,378,63,58,121
1A9X,G,H,1058,378,62,57,119
1AA1,B,C,437,123,53,38,91
1AA1,B,E,437,437,13,11,24
1AA1,B,L,437,437,11,14,25
1AA1,B,S,437,123,27,24,51
1AA1,C,E,123,437,24,28,52
1AA1,C,F,123,123,12,6,18
1AA1,C,S,123,123,6,11,17
1AA1,E,F,437,123,53,38,91
1AA1,E,H,437,437,13,11,24
1AA1,F,H,123,437,24,30,54
1AA1,F,I,123,123,12,6,18
1AA1,H,I,437,123,53,38,91
1AA1,H,L,437,437,13,11,24
1AA1,I,L,123,437,24,28,52
1AA1,I,S,123,123,11,6,17
1AA1,L,S,437,123,53,38,91
1AB9,B,C,131,96,70,62,132
1ABI,H,L,252,33,40,26,66
1ABO,A,B,58,58,9,8,17
1ABR,A,B,251,267,49,45,94
1ABW,A,B,287,146,38,37,75
1ABW,A,D,287,146,38,36,74
1ABY,A,B,283,146,34,31,65
1ABY,A,D,283,146,34,33,67
1ACB,E,I,241,63,26,15,41
1ACM,A,B,310,146,27,16,43
1ACM,B,D,146,146,20,20,40
1ACM,C,D,310,146,24,16,40
1ACY,H,L,221,215,49,44,93
1AD0,A,B,213,220,48,50,98
1AD0,B,C,220,213,9,8,17
1AD0,C,D,213,220,49,50,99
1AD9,A,B,219,219,49,51,100
1AD9,A,H,219,219,8,6,14
1AD9,B,H,219,219,8,10,18
1AD9,H,L,219,219,49,45,94
1AE6,H,L,218,219,49,44,93
1AE8,H,L,253,36,45,29,74
1AFE,H,L,253,36,45,30,75
1AFQ,B,C,131,96,68,62,130
1AGB,A,B,276,99,37,28,65
1AGC,A,B,276,99,37,31,68
1AGD,A,B,276,99,36,29,65
1AGE,A,B,276,99,38,31,69
1AGF,A,B,276,99,37,31,68
1AGR,A,D,350,344,14,14,28
1AGR,A,E,350,128,21,25,46
1AGR,D,H,344,116,20,25,45
1AHJ,A,B,198,212,84,90,174
1AHJ,C,D,198,212,83,89,172
1AHJ,E,F,198,212,85,90,175
1AHJ,G,H,198,212,83,86,169
1AHW,A,B,214,214,46,53,99
1AHW,A,C,214,200,10,9,19
1AHW,A,F,214,200,12,12,24
1AHW,B,C,214,200,16,24,40
1AHW,D,E,214,214,45,53,98
1AHW,D,F,214,200,11,11,22
1AHW,E,F,214,200,16,21,37
1AI1,H,L,221,215,49,45,94
1AI4,A,B,206,557,149,175,324
1AI5,A,B,206,557,148,172,320
1AI6,A,B,195,557,138,171,309
1AI7,A,B,206,557,149,177,326
1AIF,A,B,215,218,51,50,101
1AIF,B,H,218,218,8,6,14
1AIF,H,L,218,215,50,52,102
1AIG,H,L,248,281,49,34,83
1AIG,H,M,248,299,77,59,136
1AIG,L,M,281,299,101,109,210
1AIG,N,O,281,299,102,109,211
1AIG,N,P,281,248,34,50,84
1AIG,O,P,299,248,60,79,139
1AIJ,H,L,246,281,49,35,84
1AIJ,H,M,246,301,78,61,139
1AIJ,L,M,281,301,103,107,210
1AIJ,R,S,281,299,101,108,209
1AIJ,R,T,281,246,35,50,85
1AIJ,S,T,299,246,60,79,139
1AIK,C,N,34,36,16,20,36
1AIP,A,C,373,195,29,25,54
1AIP,A,D,373,195,14,13,27
1AIP,B,C,373,195,14,12,26
1AIP,B,D,373,195,28,25,53
1AIP,B,G,373,195,3,8,11
1AIP,C,D,195,195,27,26,53
1AIP,C,E,195,372,10,7,17
1AIP,E,G,372,195,29,24,53
1AIP,E,H,372,194,14,13,27
1AIP,F,G,372,195,14,12,26
1AIP,F,H,372,194,30,24,54
1AIP,G,H,195,194,27,28,55
1AIS,A,B,181,193,16,19,35
1AJ7,H,L,217,214,52,47,99
1AJ9,A,B,141,146,22,24,46
1AJN,A,B,206,557,148,174,322
1AJP,A,B,206,557,149,175,324
1AJQ,A,B,206,557,148,178,326
1AJS,A,B,412,411,89,85,174
1AK4,A,D,165,145,20,10,30
1AK4,B,C,163,145,19,14,33
1AK4,C,D,145,145,10,10,20
1AKH,A,B,49,78,17,13,30
1AKJ,A,B,276,98,35,30,65
1AKJ,A,D,276,114,17,16,33
1AKJ,A,E,276,114,7,10,17
1AKJ,B,D,98,114,3,7,10
1AKJ,D,E,114,114,28,28,56
1AKS,A,B,125,98,66,63,129
1AL2,1,2,283,268,52,67,119
1AL2,1,3,283,235,90,102,192
1AL2,1,4,283,60,35,26,61
1AL2,2,3,268,235,39,44,83
1AL2,2,4,268,60,16,9,25
1AL2,3,4,235,60,20,25,45
1ALL,A,B,160,160,35,35,70
